ID_UNIQUE,ORGANIZATION_NAME,ORG_NTEE
,Live from Orchestra Hall digital content - Detroit Symphony Orchestra,A68
,Living Arts,O99; A62
,"Living Cities, Inc",P50
,Local Data,
,Local Initiatives Support Coalition,
,ManPower Mentoring,
,Marygrove College,B42
,Matrix Human Services,P20; P80; P30
,"Matrix Theatre Company, Inc.",A65; A25
,Maurice and Jane Sugar Law Center for Economic and Social Justice,I80
,Mercy Education Project,B90; B60; B92
,Metro Detroit AFL-CIO Joint Council,
,Metropolitan Affairs Coalition,S31
,Metropolitan United Methodist Church,
,Michigan Colleges Foundation,B42
,"Michigan Future, Inc",Z99
,Michigan League for Human Services,
,Michigan Non-Profit Association,T40; W02; W05
,Michigan Opera Theatre,A60; A61; A65
,Michigan Roundtable for Diversity and Inclusion,X99
,Michigan State University,B43
,Michigan's Children,RO1; O01; W01
,Michigan's Thanksgiving Parade Foundation,
,Midnight Golf Program,O20
,MiVote.org - Detroit Educational Television Foundation,
,Mobilize.org: Democracy 2.0 - Mobilizing America's Youth,
,Mosaic Youth Theatre of Detroit,O50; A60; A25
,MOSES/Metropolitan Organizing Strategy Enabling Strength,S20
,"Motor City Blight Busters, Inc",S99
,Museum of African American History,
,Museum of Contemporary Art Detroit,A51
,"Music Hall Center for the Performing Arts, Inc",A61; A68; A63
,National Association of Charter School Authorizers,B02
,National Citizenship Collaboration - Immigrant Legal Resource Center,
,National Community Development Institute,
,National Council on Alcoholism and Drug Dependence - GDA,F20
,"National Urban Fellows, Inc",B50;B82; A02 
,Neighborhood Club,
,Neighborhood Funders Group,T70
,Neighborhood Legal Services Michigan,I80
,Neighborhood Service Organization,N20
,"New Detroit, Inc",R30; S99 
,New Paradigm for Education,B90
,New Urban Learning,B29
,Northend Community Development Corporation,B92;B90; B24 
,"Northwest Community Programs, Inc",
,Old Newsboys Goodfellow Fund of Detroit,W99; P40; O99
,"One of Us, Inc",B99
,Operation Get Down,F20
,People's Community Services of Metropolitan Detroit,P20
,Plowshares Theatre Company,
,PolicyLink,S21
,Prevailing Community Development Corporation,S20
,Prevention Network,
,"Project for Public Spaces, Inc",C01
,Promise Village Home for Children,P30
,Province of St Joseph of the Capuchin Order,X22; P99
,Quality Behavioral Health,E20
,Random Acts of Culture: Detroit - Sphinx Organization,
,Regents of the University of Michigan,E21
,Renaissance High School ,B80
,Renegade' Series - University Musical Society,
,Replanting Roots,I40
,"Restaurant Opportunities Center United, Inc",R20
,"River Resurgence Pageant: Matrix Theatre Company, Inc",
,Royal Transportation,
,Ruth Ellis Center,N20
,Saint John Community Health Investment Corporation,E21
,School District of the City of Detroit,B11
,Skillman Foundation,B82
,Skillman Scholars Program - Individual Skillman College Scholarships,
,"Southwest Community Mental Health Services Group, Inc",
,Southwest Counseling and Development Services,
,"Southwest Counseling Solutions, Inc",F32
,Southwest Detroit Business Association,S40
,Southwest Detroit Community Benefits Coalition,C01
,Southwest Housing Solutions Corporation,L20
,Southwest Solutions,
,"Sphinx Organization, Inc",A25; A23; O50
,Springboard for the Arts,A60
,St Boniface Church,
,St John Hospital and Medical Center,E22
,State Voices,R40; R02; R12
,Student African American Brotherhood,
,"Teach for America, Inc",B20; W70; S20 
,The Conservation Foundation,
,The Detroit Institute of the Arts,A51; A25; B60 
,The Heat and Warmth Fund,L82
,The Michigan Women's Foundation,P12
,The New Common School Foundation,B80
,"The Pewabic Society, Inc",A52; A25; A57
,The Salvation Army,P24
,The Salvation Army Eastern Michigan Division,P24
,The YES Foundation,O50; B92
,The Youth Connection,O50 
,"The Yuinon, Inc",D20
,"Think Detroit PAL, Inc",P40
,"Third Sector New England, Inc",S50; W02
,United Community Housing Coalition,L01
,United Jewish Foundation,T70
,"United Negro College Fund, Inc",B99; B82; R99
,United Way for Southeastern Michigan,M20
,University Cultural Center Organization,S20; A20
,University Hospital Association,
,University Liggett School,B24; B25
,University of Detroit Jesuit,B25 
,University of Detroit Mercy,B43
,University Preparatory Academy,B24; B25
,"Urban Business Consultant, Inc",
,"Urban Neighborhood Initiatives, Inc",P28
,Vanguard Community Development Corporation,S31
,Visiting Artists for Detroit School of Arts - University of Michigan Ann Arbor,
,"Volunteers in Prevention, Probation and Prisons, Inc",I43
,W.K. Kellogg Foundation,T21
,Warm Training Center,B90; C35; L81
,"Warren-Connor Development Coalition, Inc",
,Wayne Children's Healthcare Access Program,
,Wayne County,
,Wayne County Sheriff Office,
,Wayne State University,B43
,Wellspring,I21
,Wireless Internet Infrastructure - New America Foundation,
,Wolverine Solutions Group,
,"Women of Tomorrow: Philadelphia, Detroit, Charlotte, Palm Beach - Women of Tomorrow Mentor and Scholarship Program",O30; O50
,YMCA of Metropolitan Detroit,P27
,Youth Development Commission,O50
,YWCA of Metropolitan Detroit,P27
